Source:,D:\Program Files\KiCad_6\projects\lipo_charger\lipo_charger.kicad_sch,,,,,,,,
Date:,2/9/2023 15:37,,,,,,,,
Tool:,Eeschema (6.0.10),,,,,,,,
Generator:,D:\Program Files\KiCad_6\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,
Component Count:,19,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Collated Components:,,,,,,,,,
,,,,,,,,,
Item,Qty,Qty x3,Reference(s),Value,Link,Datasheet,Description,MPN,Price
1,3,9,"C1, C2, C7",1uF,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B105KOFNNNG?qs=hqM3L16%252Bxle5RE50HYV5dA%3D%3D,~,,,
2,2,6,"C3, C6",0.1uF,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B104KACNNNC?qs=yOVawPpwOwnhB47kNbieFw%3D%3D,~,,C0805C470J5GACTU,
3,2,6,"C4, C5",47pF,https://www.mouser.com/ProductDetail/KEMET/C0805C470J5GACTU?qs=wYAydIdPQpiNjrRQENyzBw%3D%3D,~,,,
4,1,3,D1,D_Schottky,https://www.mouser.com/ProductDetail/onsemi/NRVB120VLSFT1G?qs=tCMd4XlZ%2FiDc2vkUzw3hig%3D%3D,~,,,
5,1,3,D2,GREEN,https://www.mouser.com/ProductDetail/Wurth-Elektronik/150080VS75000?qs=LlUlMxKIyB0tGHJmO6%252B0ug%3D%3D,~,,,
6,1,3,D3,RED,https://www.mouser.com/ProductDetail/Wurth-Elektronik/150080RS75000?qs=LlUlMxKIyB2jdCo7bnfgew%3D%3D,~,,,
7,1,3,J1,USB_B_Micro,https://www.mouser.com/ProductDetail/GCT/USB3076-30-A?qs=KUoIvG%2F9IlZs3NcnVJVajg%3D%3D,~,,,
8,2,6,"J2, J3",Conn_01x12,~,,,,
9,1,3,Q1,Q_PMOS_GSD,https://www.mouser.com/ProductDetail/Diodes-Incorporated/DMP2045U-7?qs=rrS6PyfT74erdUwo5CgHTg%3D%3D,~,,,
10,1,3,Q2,MBT3904DW1,https://www.mouser.com/ProductDetail/onsemi/MBT3904DW1T1G?qs=3JMERSakebosaBSFCYL6kw%3D%3D,~,,,
11,4,12,"R1, R2, R6, R7",10k,https://www.mouser.com/ProductDetail/Panasonic/ERJ-6ENF1002V?qs=sGAEpiMZZMtG0KNrPCHnjWXb3yLuGJ27TDu1PWqWjoM%3D,~,,,
12,1,3,R3,100k,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0805100KFKEAC?qs=sGAEpiMZZMtG0KNrPCHnjXEaY7S8QU1xzq1gG8eCywmM7xhVpgLk6A%3D%3D,~,,,
13,2,6,"R4, R5",27,https://www.mouser.com/ProductDetail/Bourns/CR0805-FX-27R0ELF?qs=sGAEpiMZZMtG0KNrPCHnjfC2zYK6Lg3%2F1OlcVsuwZzY%3D,~,,,
14,2,6,"R8, R9",330,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-07332RL?qs=sGAEpiMZZMtlubZbdhIBIJv49G1poxg9nSdQyCzjNpA%3D,~,,,
15,1,3,SW1,SW_Push,https://www.mouser.com/ProductDetail/CK/PTS636-SM25-SMTR-LFS?qs=vLWxofP3U2yIXR4iooxesw%3D%3D,~,,,
16,1,3,U1,ESP32-WROOM-32,https://www.mouser.com/ProductDetail/Espressif-Systems/ESP32-WROOM-32E-N8?qs=Li%252BoUPsLEnsLnZW%252BGLgUhw%3D%3D,~,,,
17,1,3,U2,AP2112K-3.3,https://www.mouser.com/ProductDetail/Diodes-Incorporated/AP2112K-3.3TRG1?qs=x6A8l6qLYDDPYHosCdzh%2FA%3D%3D,~,,,
18,1,3,U3,FT231XS,https://www.mouser.com/ProductDetail/FTDI/FT231XS-U?qs=Gp1Yz1mis3WFP7tMtj2Z9g%3D%3D,~,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,Total,4.81
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CL21A106KOQNNNE,1,,,,,,,,
CL21A475KPFNNNE,1,,,,,,,,
CL21F104ZBANNNC,1,,,,,,,,
150080VS75000,1,,,,,,,,
150080RS75000,1,,,,,,,,
USB3076-30-A,1,,,,,,,,
LQM21PN4R7MGRD,1,,,,,,,,
DMN2053UVT-7,1,,,,,,,,
AC0805FR-072KL,1,,,,,,,,
RC0805FR-07220RL,2,,,,,,,,
RC0805JR-071K1L,1,,,,,,,,
RC0805FR-07332RL,1,,,,,,,,
OS102011MA1QN1,1,,,,,,,,
MCP73831T-2DCI/OT,1,,,,,,,,
DIO6605BFN8,1,,,,,,,,
AP9101CK6-AYTRG1,1,,,,,,,,
